schemaId	legacyCandidate	newName	legacyLength	newLength	committedLegacyFilePresent
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebSearchResult/properties/type	InlineComponentsSchemasAnthropicWebSearchResultPropertiesType	InlineAnthropicWebSearchResultTypeXd607578b	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebSearchResultBlockParam/properties/type	InlineComponentsSchemasAnthropicWebSearchResultBlockParamPropertiesType	InlineAnthropicWebSearchResultBlockParamTypeX4ccf75bd	71	53	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebSearchToolResult/properties/content	InlineComponentsSchemasAnthropicWebSearchToolResultPropertiesContent	InlineAnthropicWebSearchToolResultContentX8bf35e95	68	50	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebSearchToolResult/properties/type	InlineComponentsSchemasAnthropicWebSearchToolResultPropertiesType	InlineAnthropicWebSearchToolResultTypeX0fb13727	65	47	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebSearchToolResultError/properties/error_code	InlineComponentsSchemasAnthropicWebSearchToolResultErrorPropertiesErrorCode	InlineAnthropicWebSearchToolResultErrorErrorCodeX50817a79	75	57	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebSearchToolResultError/properties/type	InlineComponentsSchemasAnthropicWebSearchToolResultErrorPropertiesType	InlineAnthropicWebSearchToolResultErrorTypeXa091da2f	70	52	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebSearchToolUserLocation/properties/type	InlineComponentsSchemasAnthropicWebSearchToolUserLocationPropertiesType	InlineAnthropicWebSearchToolUserLocationTypeX2b062329	71	53	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchCallItem/properties/type	InlineComponentsSchemasApplyPatchCallItemPropertiesType	InlineApplyPatchCallItemTypeX3b26d518	55	37	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchCallOperationDiffDeltaEvent/properties/type	InlineComponentsSchemasApplyPatchCallOperationDiffDeltaEventPropertiesType	InlineApplyPatchCallOperationDiffDeltaEventTypeX2a517bb3	74	56	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchCallOperationDiffDoneEvent/properties/type	InlineComponentsSchemasApplyPatchCallOperationDiffDoneEventPropertiesType	InlineApplyPatchCallOperationDiffDoneEventTypeX82fcb82d	73	55	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchCallOutputItem/properties/status	InlineComponentsSchemasApplyPatchCallOutputItemPropertiesStatus	InlineApplyPatchCallOutputItemStatusX79b31ade	63	45	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchCallOutputItem/properties/type	InlineComponentsSchemasApplyPatchCallOutputItemPropertiesType	InlineApplyPatchCallOutputItemTypeX5c4c3c3c	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchCreateFileOperation/properties/type	InlineComponentsSchemasApplyPatchCreateFileOperationPropertiesType	InlineApplyPatchCreateFileOperationTypeX0f95abc7	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchDeleteFileOperation/properties/type	InlineComponentsSchemasApplyPatchDeleteFileOperationPropertiesType	InlineApplyPatchDeleteFileOperationTypeXa1f4610e	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchServerTool/properties/type	InlineComponentsSchemasApplyPatchServerToolPropertiesType	InlineApplyPatchServerToolTypeXb68d4282	57	39	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchServerTool_OpenRouter/properties/type	InlineComponentsSchemasApplyPatchServerToolOpenRouterPropertiesType	InlineApplyPatchServerToolOpenRouterTypeXacbef3cf	67	49	true
sdkgen://source/openapi.yaml#/components/schemas/ApplyPatchUpdateFileOperation/properties/type	InlineComponentsSchemasApplyPatchUpdateFileOperationPropertiesType	InlineApplyPatchUpdateFileOperationTypeX6ab9115a	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/AutoRouterPlugin/properties/id	InlineComponentsSchemasAutoRouterPluginPropertiesId	InlineAutoRouterPluginIdX2adccf1f	51	33	true
sdkgen://source/openapi.yaml#/components/schemas/BaseAnnotationAddedEvent/properties/type	InlineComponentsSchemasBaseAnnotationAddedEventPropertiesType	InlineBaseAnnotationAddedEventTypeXbc690cd8	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/BaseContentPartAddedEvent/properties/part	InlineComponentsSchemasBaseContentPartAddedEventPropertiesPart	InlineBaseContentPartAddedEventPartXe4ac1bd0	62	44	true
sdkgen://source/openapi.yaml#/components/schemas/BaseContentPartAddedEvent/properties/type	InlineComponentsSchemasBaseContentPartAddedEventPropertiesType	InlineBaseContentPartAddedEventTypeXef1bd9f5	62	44	true
sdkgen://source/openapi.yaml#/components/schemas/BaseContentPartDoneEvent/properties/part	InlineComponentsSchemasBaseContentPartDoneEventPropertiesPart	InlineBaseContentPartDoneEventPartX9028e32f	61	43	false
sdkgen://source/openapi.yaml#/components/schemas/BaseContentPartDoneEvent/properties/type	InlineComponentsSchemasBaseContentPartDoneEventPropertiesType	InlineBaseContentPartDoneEventTypeX449d5d90	61	43	false
sdkgen://source/openapi.yaml#/components/schemas/BaseCustomToolCallInputDeltaEvent/properties/type	InlineComponentsSchemasBaseCustomToolCallInputDeltaEventPropertiesType	InlineBaseCustomToolCallInputDeltaEventTypeXce45a844	70	52	true
